gene_symbol,HealthyLungBiopsy_2,HealthyLungBiopsy_1,COVID19Lung_2,COVID19Lung_1
CCDC27,0,0,0,0
SMIM1,8,18,0,0
LRRC47,697,808,0,0
CEP104,194,341,0,0
DFFB,127,82,0,0
C1orf174,237,450,6,0
AJAP1,9,123,0,0
MIR4689,0,0,0,0
NPHP4,193,304,2,0
KCNAB2,559,541,0,0
CHD5,36,10,0,0
RPL22,7614,7401,225,11
RNF207,78,68,0,0
ICMT,733,495,12,0
HES3,0,0,0,0
GPR153,204,80,0,0
ACOT7,682,399,8,0
HES2,34,44,0,0
ESPN,2,3,0,0
MIR4252,0,0,0,0
TNFRSF25,203,403,0,0
PLEKHG5,153,209,0,0
NOL9,356,531,12,0
TAS1R1,5,2,0,0
ZBTB48,468,472,5,0
KLHL21,722,2531,3,1
PHF13,405,1823,1,0
THAP3,317,810,5,0
DNAJC11,210,475,0,0
CAMTA1,1294,3791,136,6
VAMP3,4273,3848,74,4
PER3,378,995,0,0
UTS2,29,8,0,0
TNFRSF9,44,394,0,0
PARK7,3333,5177,69,10
ERRFI1,2580,24518,12,0
SLC45A1,74,11,0,0
RERE,2246,2200,39,0
ENO1,15919,103654,463,37
ENO1-AS1,3,2,0,0
CA6,0,4,0,0
SLC2A7,0,0,0,0
SLC2A5,62,135,0,0
GPR157,0,22,0,0
MIR34A,0,11,0,0
H6PD,1370,795,21,0
SPSB1,3018,3079,59,3
SLC25A33,495,876,0,3
TMEM201,227,242,0,0
PIK3CD,374,1633,22,0
CLSTN1,1445,1215,18,1
CTNNBIP1,637,272,0,1
LZIC,155,329,5,0
NMNAT1,48,58,0,1
RBP7,452,21,6,4
UBE4B,617,846,15,0
KIF1B,906,1529,39,3
PGD,2069,4975,175,16
CORT,0,5,0,0
DFFA,303,537,4,2
PEX14,183,285,10,0
CASZ1,214,654,6,0
C1orf127,0,2,0,0
TARDBP,2308,7583,34,0
MASP2,79,61,7,0
SRM,1098,1727,67,3
EXOSC10,994,1511,22,0
MTOR,631,1517,14,0
MTOR-AS1,0,3,0,0
ANGPTL7,4,6,0,0
UBIAD1,365,889,0,0
FBXO2,47,47,2,0
FBXO44,265,305,0,0
FBXO6,237,331,19,4
MAD2L2,964,1861,23,2
DRAXIN,0,1,0,0
AGTRAP,989,1257,14,4
MTHFR,1013,782,1,0
CLCN6,375,849,0,0
NPPA-AS1,6,20,0,0
NPPA,10,22,0,0
NPPB,0,1,0,0
KIAA2013,599,665,9,0
PLOD1,1734,3059,27,0
MFN2,1989,4276,0,3
MIIP,324,294,1,2
TNFRSF8,53,69,0,0
TNFRSF1B,2716,6790,40,8
MIR4632,0,0,0,0
VPS13D,970,2308,2,0
SNORA59B,0,0,0,0
SNORA59A,0,0,0,0
DHRS3,998,2981,42,1
AADACL4,0,0,0,0
AADACL3,0,0,0,0
C1orf158,0,25,2,0
PRAMEF12,0,0,0,0
PRAMEF1,0,1,0,0
PRAMEF11,0,0,0,0
HNRNPCL1,14,0,0,0
PRAMEF2,0,0,0,0
PRAMEF4,0,0,0,0
PRAMEF10,0,0,0,0
PRAMEF8,0,0,0,0
PRAMEF7,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF22,0,0,0,0
PRAMEF5,0,0,0,0
PRAMEF9,0,0,0,0
PRAMEF15,0,0,0,0
PRAMEF14,0,0,0,0
PRAMEF13,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF20,0,0,0,0
PRAMEF17,2,0,0,0
LRRC38,0,29,0,2
PDPN,861,3458,104,10
PRDM2,770,2624,0,1
KAZN,883,862,2,0
TMEM51-AS1,25,64,0,0
TMEM51,437,3676,3,0
FHAD1,49,43,0,0
EFHD2,1622,2977,262,10
CTRC,14,19,0,0
CELA2A,4,2,0,0
CELA2B,7,13,0,0
CASP9,476,334,1,0
DNAJC16,199,342,30,0
AGMAT,6,6,0,0
DDI2,13,80,0,0
RSC1A1,40,95,6,0
PLEKHM2,1352,3207,1,0
SLC25A34,65,123,0,0
TMEM82,0,0,0,0
FBLIM1,1362,452,19,0
UQCRHL,103,187,3,0
FLJ37453,146,116,1,0
SPEN,1520,3832,41,3
ZBTB17,1174,1597,1,1
HSPB7,581,194,0,0
CLCNKA,20,1,0,0
CLCNKB,12,2,0,0
FAM131C,0,0,0,0
EPHA2,747,6847,15,0
ARHGEF19,284,189,4,0
FBXO42,304,1069,9,0
SZRD1,3062,5141,86,7
SPATA21,5,7,0,0
NECAP2,1771,4296,36,1
CROCCP3,66,75,0,0
MIR3675,0,0,0,0
NBPF1,127,179,0,0
CROCCP2,435,408,12,0
MST1P2,22,21,0,0
ESPNP,0,1,0,0
MST1L,4,29,0,0
CROCC,285,140,0,0
MFAP2,123,66,0,0
ATP13A2,231,795,3,0
SDHB,1395,2508,18,5
PADI2,123,131,131,13
PADI1,0,18,0,0
PADI3,8,0,0,0
PADI4,193,18,26,8
PADI6,0,0,0,0
RCC2,1715,3314,15,1
ARHGEF10L,336,498,0,0
ACTL8,0,0,0,0
IGSF21,42,3,0,0
KLHDC7A,10,12,0,0
PAX7,0,0,0,0
TAS1R2,0,1,0,0
ALDH4A1,297,84,0,0
MIR4695,0,0,0,0
IFFO2,393,844,6,0
UBR4,1958,11810,60,3
EMC1,588,1407,18,2
MRTO4,1178,2689,23,1
AKR7L,32,6,0,0
AKR7A3,26,14,0,0
LOC100506730,44,21,0,0
AKR7A2,944,374,5,0
PQLC2,202,243,1,0
CAPZB,5739,6218,574,54
MINOS1,1237,1763,113,2
NBL1,36,9,0,0
HTR6,0,3,0,0
TMCO4,219,190,0,0
RNF186,0,2,0,0
OTUD3,247,2326,0,0
PLA2G2E,0,0,0,0
PLA2G2A,1880,17,18,4
PLA2G5,181,26,3,0
PLA2G2D,22,17,0,0
PLA2G2F,0,0,0,0
PLA2G2C,2,0,0,0
UBXN10,71,34,0,0
VWA5B1,10,0,0,0
CAMK2N1,1116,639,63,3
MUL1,536,1491,1,0
FAM43B,10,0,2,0
CDA,266,33,205,27
PINK1,1646,738,3,1
DDOST,2407,4343,52,4
KIF17,276,705,2,0
SH2D5,1,722,0,0
HP1BP3,2336,4832,67,2
EIF4G3,547,1325,70,1
ECE1,6077,8717,69,0
LOC100506801,17,43,0,0
NBPF3,34,115,0,0
ALPL,1754,582,377,58
RAP1GAP,47,172,5,0
USP48,573,1223,4,0
LDLRAD2,23,14,0,0
HSPG2,412,1101,4,2
CELA3B,0,0,0,0
CELA3A,0,0,0,0
LINC00339,246,172,3,0
CDC42,5466,11272,588,45
WNT4,29,58,0,0
ZBTB40,517,1425,10,0
EPHA8,0,0,0,0
C1QA,5820,3422,170,27
C1QC,1324,1240,433,54
C1QB,4219,3569,503,68
EPHB2,74,1275,13,0
MIR4684,0,0,0,0
MIR4253,0,0,0,0
KDM1A,1034,2509,3,0
MIR3115,0,0,0,0
LUZP1,872,4012,4,0
HTR1D,31,2,0,1
HNRNPR,2559,4238,64,4
ZNF436,501,402,15,0
TCEA3,571,209,0,0
ASAP3,463,191,0,0
E2F2,22,13,0,0
ID3,4427,5923,33,0
MDS2,0,5,0,0
RPL11,28399,35252,879,87
PITHD1,1200,2146,17,0
LYPLA2,1035,1826,18,0
GALE,233,1004,13,0
HMGCL,582,900,2,0
FUCA1,453,324,21,5
CNR2,0,10,0,0
MIR378F,0,0,0,0
PNRC2,366,1443,0,3
SRSF10,279,891,0,0
MYOM3,38,0,5,0
IL22RA1,17,8,0,0
IFNLR1,13,191,0,0
LOC284632,8,0,0,0
GRHL3,5,7,0,0
STPG1,168,184,8,0
NIPAL3,416,392,0,0
RCAN3AS,0,1,0,0
RCAN3,93,160,6,4
NCMAP,35,40,1,0
SRRM1,1500,3239,43,9
CLIC4,6443,17477,781,31
RUNX3,345,937,3,2
SYF2,1342,1694,29,0
RHD,25,31,0,0
TMEM50A,1874,4618,342,20
RHCE,3,8,0,0
LDLRAP1,578,668,0,0
MAN1C1,219,77,26,0
MTFR1L,872,800,0,1
LOC646471,40,62,0,0
AUNIP,2,11,0,0
PAQR7,204,292,2,0
STMN1,888,1185,11,1
MIR3917,0,0,0,0
PAFAH2,187,167,8,0
EXTL1,8,6,0,0
SLC30A2,7,10,0,0
TRIM63,4,6,0,0
PDIK1L,65,142,0,0
FAM110D,1107,69,0,0
ZNF593,977,1591,4,0
CNKSR1,88,243,16,0
CATSPER4,0,1,0,0
CEP85,94,201,0,0
SH3BGRL3,8356,14133,2138,216
UBXN11,454,447,5,4
CD52,2886,994,103,21
ZNF683,31,9,0,0
LIN28A,3,0,0,0
DHDDS,371,862,0,0
HMGN2,3337,1870,23,1
RPS6KA1,1149,2400,58,4
MIR1976,0,0,0,3
ARID1A,967,2060,31,1
PIGV,144,283,19,1
ZDHHC18,624,1257,21,1
SFN,464,7692,1,0
GPN2,301,527,0,0
GPATCH3,401,405,0,0
NR0B2,10,447,1,0
NUDC,2875,6351,50,1
TRNP1,114,355,2,0
SLC9A1,473,1631,0,0
WDTC1,654,753,15,1
TMEM222,965,1404,8,0
SYTL1,77,156,2,2
MAP3K6,5125,333,0,0
FCN3,16072,1177,85,6
CD164L2,3,15,0,0
GPR3,294,138,0,0
WASF2,3482,3918,53,0
AHDC1,386,353,1,0
FGR,3122,2287,1853,85
IFI6,1824,3698,11033,932
FAM76A,242,167,9,0
STX12,2061,5509,280,15
PPP1R8,821,1422,18,2
SCARNA1,0,4,3,0
THEMIS2,849,990,42,4
RPA2,762,1326,53,0
SMPDL3B,28,117,0,0
XKR8,152,156,0,2
EYA3,451,1125,55,0
PTAFR,282,1253,48,4
DNAJC8,1966,4727,96,13
SESN2,339,1332,0,0
MED18,11,19,9,0
PHACTR4,197,331,9,0
SNHG3,808,2448,4,1
RCC1,211,1117,13,1
TRNAU1AP,420,1147,2,0
SNHG12,451,3043,6,0
SNORD99,70,52,0,0
SNORA61,51,140,6,0
SNORA44,23,69,3,0
SNORA16A,14,82,1,1
RAB42,12,30,0,0
TAF12,410,710,24,6
RNU11,13,34,12,6
GMEB1,95,365,0,0
YTHDF2,1471,2507,32,2
OPRD1,0,0,0,0
EPB41,244,927,13,0
TMEM200B,42,19,0,0
SRSF4,3693,7863,145,4
MECR,343,304,4,0
PTPRU,219,308,4,0
MATN1,9,27,0,0
MATN1-AS1,27,62,0,0
LAPTM5,7537,9069,546,50
MIR4420,0,0,0,0
SDC3,1089,1088,0,1
PUM1,996,3253,98,0
SNORD103B,0,0,0,0
SNORD103A,0,0,0,0
NKAIN1,0,0,0,0
SNRNP40,505,1555,18,5
ZCCHC17,655,972,6,2
FABP3,440,509,3,0
SERINC2,208,1200,8,1
TINAGL1,3132,888,11,1
HCRTR1,0,7,0,0
PEF1,2104,3264,40,9
COL16A1,445,758,0,0
MIR4254,0,0,0,0
SPOCD1,118,264,0,0
PTP4A2,3377,10743,196,6
KHDRBS1,2689,4726,209,9
TMEM39B,500,501,0,0
KPNA6,1238,2520,63,3
TXLNA,2197,3622,18,0
CCDC28B,122,151,0,0
IQCC,35,89,0,0
DCDC2B,74,84,0,0
TMEM234,141,166,0,0
EIF3I,3182,11581,93,22
MTMR9LP,956,240,0,0
FAM167B,463,255,0,1
LCK,92,777,0,0
HDAC1,1769,3226,69,4
MARCKSL1,1692,2194,108,4
FAM229A,55,58,0,0
TSSK3,65,63,1,0
BSDC1,1113,1968,4,0
ZBTB8B,2,0,0,0
ZBTB8A,196,90,0,0
ZBTB8OS,433,761,83,2
RBBP4,801,2306,21,0
SYNC,72,5,0,0
KIAA1522,368,1094,6,1
YARS,1570,6129,30,0
S100PBP,319,652,1,0
FNDC5,34,6,0,0
HPCA,3,1,0,0
TMEM54,418,302,1,0
RNF19B,787,3293,985,48
AK2,2118,8382,147,4
TRIM62,94,145,5,0
ZNF362,471,118,6,0
PHC2,4572,7180,13,3
MIR3605,5,7,0,0
ZSCAN20,34,72,0,0
CSMD2,9,24,0,0
HMGB4,0,2,0,0
C1orf94,1,0,0,0
GJB5,4,16,0,0
GJB4,1,19,0,0
GJB3,0,108,0,0
GJA4,2320,2204,3,1
SMIM12,1166,2039,31,0
DLGAP3,4,11,0,0
LOC653160,99,50,0,0
ZMYM6,216,464,0,0
ZMYM1,75,94,0,0
SFPQ,2753,6530,145,4
ZMYM4,490,1300,53,4
KIAA0319L,755,833,44,6
NCDN,227,304,0,0
TFAP2E,40,73,0,0
PSMB2,1354,4485,307,8
C1orf216,558,469,0,0
CLSPN,46,25,0,0
AGO4,702,880,20,0
AGO1,536,567,0,0
AGO3,93,738,4,4
TEKT2,19,100,0,2
ADPRHL2,517,1937,17,1
COL8A2,72,91,0,0
TRAPPC3,1195,2617,26,1
MAP7D1,777,4323,18,1
THRAP3,1754,3783,60,5
SH3D21,25,600,0,0
EVA1B,554,572,4,0
STK40,2183,5539,13,3
LSM10,760,819,46,3
OSCP1,61,116,0,1
MRPS15,913,1439,50,5
CSF3R,594,370,379,42
GRIK3,6,0,0,0
MIR4255,0,0,0,0
ZC3H12A,1367,7498,728,23
MEAF6,1003,1367,29,0
MIR5581,0,1,0,0
SNIP1,299,1031,8,0
DNALI1,290,387,7,0
GNL2,1107,4336,7,0
RSPO1,88,31,0,0
C1orf109,216,583,2,1
CDCA8,10,16,0,0
EPHA10,15,4,1,0
MANEAL,55,64,0,0
YRDC,454,1552,5,0
C1orf122,952,1184,51,0
MTF1,426,1267,91,2
INPP5B,346,400,0,0
SF3A3,1632,2664,15,2
FHL3,404,586,82,9
POU3F1,4,8,0,0
MIR3659,0,0,0,0
RRAGC,843,2431,17,0
GJA9-MYCBP,0,7,0,0
MYCBP,0,1,0,0
GJA9,0,0,0,0
RHBDL2,15,41,0,0
AKIRIN1,1507,3091,42,0
NDUFS5,3505,4923,58,6
MACF1,3886,18428,124,4
KIAA0754,26,125,0,0
BMP8A,131,43,0,0
PPIEL,70,53,0,0
PABPC4,3313,4486,134,0
SNORA55,0,3,0,0
HEYL,1794,295,3,0
NT5C1A,0,0,0,0
HPCAL4,47,16,0,0
PPIE,814,1241,4,2
BMP8B,23,12,0,0
OXCT2,9,2,0,0
TRIT1,261,907,0,0
MFSD2A,321,3461,12,2
CAP1,5651,12903,753,42
PPT1,1563,1539,72,6
RLF,421,3762,14,0
TMCO2,3,3,0,0
ZMPSTE24,611,926,67,0
COL9A2,51,52,11,2
SMAP2,2292,1592,411,38
ZFP69B,7,37,0,0
ZFP69,105,38,0,0
EXO5,107,229,8,0
ZNF684,81,61,5,0
RIMS3,751,162,0,0
NFYC,979,1436,24,0
MIR30E,0,0,0,0
MIR30C1,0,0,0,0
KCNQ4,179,60,0,0
CITED4,80,417,12,0
CTPS1,569,2172,1,0
SLFNL1-AS1,14,37,0,0
SLFNL1,5,17,0,0
SCMH1,589,1519,15,0
EDN2,5,70,0,0
HIVEP3,257,1785,34,5
GUCA2B,0,0,0,0
GUCA2A,0,6,0,0
FOXJ3,774,2679,18,0
RIMKLA,107,139,6,0
ZMYND12,26,19,12,0
PPCS,948,691,15,0
CCDC30,19,48,0,0
PPIH,485,450,2,0
YBX1,13436,17935,221,15
CLDN19,2,1,0,0
C1orf50,157,275,13,0
ERMAP,249,216,0,0
ZNF691,158,203,0,0
SLC2A1,566,7310,39,0
SLC2A1-AS1,15,9,0,0
FAM183A,19,51,8,0
EBNA1BP2,1014,4654,7,0
TMEM125,494,498,0,0
C1orf210,58,31,4,0
TIE1,2414,2261,47,8
MPL,24,9,0,0
CDC20,12,49,0,0
ELOVL1,1050,3085,14,4
MED8,564,1544,15,2
SZT2,587,853,6,0
HYI,0,0,0,0
PTPRF,551,1867,14,2
KDM4A,388,513,6,0
KDM4A-AS1,7,9,0,0
ST3GAL3,407,497,0,0
ARTN,68,17,0,0
IPO13,401,512,6,1
DPH2,578,1434,5,0
ATP6V0B,2193,5684,74,7
B4GALT2,472,717,0,0
CCDC24,67,52,0,0
SLC6A9,316,52,3,0
KLF17,72,5,0,0
DMAP1,844,426,0,4
ERI3,931,701,13,0
RNF220,1199,1182,17,0
MIR5584,0,0,0,0
TMEM53,157,110,1,0
KIF2C,36,70,3,0
RPS8,29808,42225,705,54
SNORD55,30,64,0,0
SNORD46,0,11,0,0
SNORD38A,34,16,0,0
SNORD38B,121,105,0,0
BEST4,12,19,0,0
PLK3,1233,2381,15,5
TCTEX1D4,2,27,0,0
BTBD19,13,70,0,0
PTCH2,24,47,5,0
EIF2B3,314,569,17,0
HECTD3,593,752,67,7
UROD,1344,1024,2,0
ZSWIM5,86,143,0,0
HPDL,19,13,0,0
MUTYH,312,354,4,0
TOE1,274,776,0,0
TESK2,124,223,0,0
MMACHC,12,18,0,0
PRDX1,6203,20228,281,13
AKR1A1,1512,2375,11,3
NASP,2827,4603,14,1
CCDC17,59,188,0,0
GPBP1L1,1491,2978,44,0
RPS15AP10,25,3,0,0
TMEM69,212,382,21,1
IPP,45,11,0,0
MAST2,654,830,2,0
PIK3R3,7063,323,27,2
TSPAN1,139,612,7,6
POMGNT1,772,1329,14,1
LURAP1,13,32,0,0
RAD54L,26,51,0,0
LRRC41,1269,2617,39,6
UQCRH,2377,3924,94,6
NSUN4,370,878,0,0
FAAH,131,196,0,0
DMBX1,0,4,0,0
MKNK1-AS1,6,13,0,0
KNCN,0,0,0,0
MKNK1,591,871,18,3
MOB3C,1461,2021,11,0
ATPAF1,486,393,0,4
TEX38,0,1,0,0
EFCAB14-AS1,0,1,0,0
EFCAB14,2163,2359,150,2
CYP4B1,1063,1054,54,0
CYP4Z2P,7,9,0,0
CYP4A11,43,1,0,0
CYP4X1,190,38,2,0
CYP4Z1,2,14,0,0
CYP4A22,0,2,0,0
LINC00853,8,1,0,0
PDZK1IP1,97,2328,45,3
TAL1,852,806,11,0
STIL,12,40,0,0
CMPK1,2704,2858,55,1
FOXE3,0,0,0,0
FOXD2-AS1,32,41,0,0
FOXD2,17,11,0,0
TRABD2B,131,56,7,0
SLC5A9,39,93,6,0
SPATA6,282,91,4,0
AGBL4,0,7,0,0
BEND5,112,137,0,0
ELAVL4,7,4,0,0
DMRTA2,6,0,0,0
FAF1,726,932,13,2
CDKN2C,278,114,8,0
C1orf185,0,0,0,0
RNF11,1822,2632,45,0
TTC39A,155,211,0,0
EPS15,1108,1834,81,0
OSBPL9,1130,1306,70,8
MIR761,0,0,0,0
RAB3B,9,13,1,0
TXNDC12,967,2365,129,10
KTI12,0,0,0,0
BTF3L4,883,1350,83,5
ZFYVE9,389,425,9,0
CC2D1B,614,1506,0,0
ORC1,12,40,0,0
PRPF38A,660,1933,29,1
GPX7,111,145,2,0
ZYG11B,466,435,8,2
ZYG11A,0,0,0,0
ECHDC2,769,388,5,1
SCP2,1644,717,25,3
PODN,1476,146,0,0
SLC1A7,144,19,0,0
CPT2,236,265,3,0
C1orf123,1068,817,22,0
MAGOH,834,2037,36,1
LOC100507564,0,2,0,0
LRP8,17,301,1,0
SLC25A3P1,0,0,0,0
DMRTB1,0,0,0,0
GLIS1,9,7,0,0
YIPF1,361,688,61,5
DIO1,2,4,0,0
HSPB11,317,590,22,0
LRRC42,326,1281,3,0
LDLRAD1,18,32,0,0
TMEM59,3672,5501,257,14
TCEANC2,51,78,10,0
MIR4781,0,0,0,0
CDCP2,0,0,0,0
CYB5RL,34,26,0,0
MRPL37,923,1426,5,1
SSBP3,688,727,24,7
ACOT11,15,9,0,0
FAM151A,0,2,0,0
MROH7,15,4,0,0
TTC4,3,22,0,0
PARS2,18,76,0,0
TTC22,0,22,0,0
DHCR24,1548,2124,34,2
TMEM61,2,12,0,0
BSND,0,0,0,0
PCSK9,11,86,22,0
USP24,732,2892,30,0
LOC100507634,23,49,9,0
MIR4422,0,0,0,0
PRKAA2,87,170,0,0
C8A,3,9,10,0
C8B,5,17,0,0
DAB1,9,2,0,0
OMA1,158,122,8,0
TACSTD2,449,9098,114,2
MYSM1,326,1398,1,2
JUN,13579,37849,53,2
HSD52,0,0,0,0
FGGY,177,160,0,0
MIR4711,0,0,0,0
HOOK1,45,235,0,0
CYP2J2,0,18,0,4
C1orf87,20,21,0,0
NFIA,1477,350,18,0
MGC34796,2,1,0,0
TM2D1,392,674,9,0
L1TD1,22,27,0,0
KANK4,65,35,0,0
USP1,398,929,31,2
DOCK7,195,1056,0,1
ANGPTL3,0,6,0,0
ATG4C,127,123,15,0
LINC00466,0,0,0,0
FOXD3,0,0,0,0
ALG6,149,111,20,0
ITGB3BP,105,68,19,0
EFCAB7,83,49,0,0
DLEU2L,0,4,0,0
PGM1,1302,1343,36,0
ROR1,63,239,1,0
UBE2U,0,0,0,0
CACHD1,352,469,11,0
MIR4794,0,0,0,0
RAVER2,334,229,6,0
JAK1,3000,19161,426,16
MIR3671,2,14,0,0
MIR101-1,0,6,0,0
AK4,306,1467,2,2
DNAJC6,58,130,6,0
LEPROT,2164,1906,63,3
LEPR,915,152,0,0
PDE4B,1258,8032,993,48
SGIP1,556,1499,7,0
MIR3117,0,0,0,0
TCTEX1D1,368,20,5,0
INSL5,0,1,0,0
WDR78,59,83,19,0
MIER1,669,1704,337,19
SLC35D1,172,338,0,2
C1orf141,13,1,0,0
IL23R,9,0,2,0
IL12RB2,8,52,7,0
SERBP1,4306,9456,274,12
GADD45A,2414,16868,27,3
GNG12,1733,3869,88,3
GNG12-AS1,17,34,0,0
DIRAS3,85,106,0,0
WLS,1507,1800,66,0
MIR1262,0,1,0,0
RPE65,0,0,0,0
DEPDC1,4,3,0,0
LRRC7,5,0,0,0
PIN1P1,5,0,0,0
LRRC40,206,294,0,0
SRSF11,1968,4070,68,3
ANKRD13C,445,662,14,0
HHLA3,328,42,0,0
CTH,62,201,0,0
PTGER3,41,43,0,0
ZRANB2-AS1,0,6,0,0
ZRANB2,924,2259,33,0
MIR186,2,3,0,0
ZRANB2-AS2,11,0,0,0
NEGR1,170,80,0,0
NEGR1-IT1,0,0,0,0
LRRIQ3,0,1,0,0
FPGT-TNNI3K,0,0,0,0
FPGT,129,64,0,0
TNNI3K,0,0,0,0
CRYZ,335,325,12,0
TYW3,367,410,12,0
LHX8,2,0,0,0
SLC44A5,6,0,0,1
ACADM,452,451,14,0
RABGGTB,1164,3703,48,0
SNORD45C,9,7,0,0
SNORD45A,0,7,0,0
SNORD45B,10,11,0,0
MSH4,7,6,0,0
ASB17,0,0,0,0
ST6GALNAC3,214,112,14,0
ST6GALNAC5,43,141,0,0
PIGK,287,153,9,0
AK5,28,9,0,0
ZZZ3,292,860,10,0
USP33,521,969,7,0
NEXN,692,329,108,9
FUBP1,804,3954,29,0
DNAJB4,610,1319,1,0
GIPC2,270,24,8,0
MGC27382,0,3,0,0
PTGFR,46,35,0,0
IFI44L,387,1900,1040,60
IFI44,673,3139,534,25
MIR548AP,0,0,0,0
TTLL7,34,113,0,0
PRKACB,299,345,37,0
SAMD13,39,6,0,0
UOX,4,2,0,0
DNASE2B,64,14,18,0
RPF1,794,1903,48,0
GNG5,2963,5941,2231,89
CTBS,325,361,60,2
SSX2IP,108,59,0,0
LPAR3,24,32,0,0
MCOLN2,57,430,24,0
MCOLN3,88,66,0,0
WDR63,10,29,0,0
MIR4423,0,0,0,0
SYDE2,33,74,0,0
C1orf52,484,1312,23,0
BCL10,468,2011,23,0
LOC646626,19,35,0,0
DDAH1,827,1913,184,0
CYR61,4835,21110,423,49
ZNHIT6,478,752,23,5
COL24A1,37,11,0,0
ODF2L,428,839,8,0
CLCA2,9,0,0,0
CLCA1,0,1,0,0
CLCA4,0,0,0,0
CLCA3P,2,4,7,0
SH3GLB1,2442,4566,268,1
HS2ST1,326,507,2,0
LMO4,956,926,31,0
PKN2,420,740,4,3
GTF2B,617,2034,226,8
RBMXL1,401,1112,38,2
GBP3,151,2099,988,23
GBP1,774,7536,2436,48
GBP2,1132,6526,339,24
GBP7,12,18,0,0
GBP4,1213,6546,1386,74
GBP5,68,1157,729,41
GBP6,8,7,0,0
GBP1P1,106,278,78,5
LRRC8B,361,691,18,0
LRRC8C,575,1312,34,0
LRRC8D,152,363,11,0
GEMIN8P4,15,32,0,1
ZNF326,369,454,10,0
BARHL2,0,0,0,0
ZNF644,295,1501,17,0
HFM1,14,6,0,0
CDC7,211,238,0,0
TGFBR3,1533,1367,29,0
BRDT,4,2,0,0
EPHX4,20,30,0,0
BTBD8,0,7,0,0
KIAA1107,20,20,0,0
C1orf146,4,3,0,0
GLMN,99,227,0,0
RPAP2,147,320,30,2
GFI1,36,137,0,0
EVI5,344,491,0,0
RPL5,20411,30498,385,22
FAM69A,88,252,4,1
SNORD21,27,14,0,0
SNORA66,6,20,0,0
MTF2,324,567,23,0
TMED5,810,2920,181,4
CCDC18,59,57,0,0
DR1,759,1344,52,0
FNBP1L,961,942,16,0
BCAR3,280,2452,11,0
LOC100129046,0,20,0,0
MIR760,0,0,0,0
DNTTIP2,1889,6151,74,0
GCLM,307,1053,9,3
ABCA4,13,69,0,0
ARHGAP29,1381,1450,4,0
ABCD3,341,568,11,0
F3,481,4614,131,10
SLC44A3,94,206,6,0
CNN3,7398,5147,190,5
LOC729970,162,289,0,0
ALG14,131,129,0,0
TMEM56,35,57,0,0
TMEM56-RWDD3,0,0,0,0
RWDD3,103,131,4,0
PTBP2,367,683,0,0
DPYD,415,478,26,0
DPYD-AS1,0,0,0,0
